Highway,Side,Between,Prohibited Times and/or Days,parsed_data
Ellesmere Road,Both,Morningside Avenue and a point 61 metres east of Gander Drive,Anytime,"{'start_intersection': 'Morningside Avenue', 'distance': '61', 'direction': 'east', 'offset_intersection': 'Gander Drive', 'rule_type': 'intersect_to_offset'}"
Kingston Road,South,Markham Road and Harewood Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Markham Road', 'end_intersection': 'Harewood Avenue', 'rule_type': 'block'}"
Keele Street,East,Annette Street and a point 91.5 metres south,Anytime,"{'start_intersection': 'Annette Street', 'distance': '91.5', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Keele Street,West,A point 45 metres south of Annette Street and Dundas Street West,Anytime,"{'distance': '45', 'direction': 'south', 'start_intersection': 'Annette Street', 'end_intersection': 'Dundas Street West', 'rule_type': 'offset_to_intersect'}"
Keele Street,East,A point 91.5 metres south of Annette Street and a point 30.5 metres north of Humberside Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'A point 91.5 metres south of Annette Street', 'distance': '30.5', 'direction': 'north', 'offset_intersection': 'Humberside Avenue', 'rule_type': 'intersect_to_offset'}"
Eglinton Avenue West,South,Flanders Road and a point 30.5 metres west of Glen Cedar Road,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Flanders Road', 'distance': '30.5', 'direction': 'west', 'offset_intersection': 'Glen Cedar Road', 'rule_type': 'intersect_to_offset'}"
Eglinton Avenue West,North,A point 104 metres west of Glenarden Road and Glenarden Road,Anytime,"{'distance': '104', 'direction': 'west', 'start_intersection': 'Glenarden Road', 'end_intersection': 'Glenarden Road', 'rule_type': 'offset_to_intersect'}"
Finch Avenue West,Both,Albion Road and Highway 427,Anytime,"{'start_intersection': 'Albion Road', 'end_intersection': 'Highway 427', 'rule_type': 'block'}"
Finch Avenue East,Both,Bayview Avenue and Kenneth Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Bayview Avenue', 'end_intersection': 'Kenneth Avenue', 'rule_type': 'block'}"
Kingston Road,West,Old Kingston Road and Highway 2A,Anytime,"{'start_intersection': 'Old Kingston Road', 'end_intersection': 'Highway 2A', 'rule_type': 'block'}"
Keele Street,East,Annette Street and Vine Avenue,"Anytime, except Sun. and public holidays","{'start_intersection': 'Annette Street', 'end_intersection': 'Vine Avenue', 'rule_type': 'block'}"
Keele Street,East,Bloor Street West and a point 45.5 metres north,Anytime,"{'start_intersection': 'Bloor Street West', 'distance': '45.5', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Keele Street,East,A point 97.5 metres north of Bloor Street West and a point 94.5 metres further north,Anytime,"{'dist1': '97.5', 'dir1': 'north', 'start_intersection': 'Bloor Street West', 'dist2': '94.5', 'rule_type': 'relative_extension'}"
Eglinton Avenue West,North,Glenarden Road and Peveril Hill North,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'Glenarden Road', 'end_intersection': 'Peveril Hill North', 'rule_type': 'block'}"
Eglinton Avenue West,South,A point 42.8 metres east of Glen Cedar Road and Rostrevor Road,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'distance': '42.8', 'direction': 'east', 'start_intersection': 'Glen Cedar Road', 'end_intersection': 'Rostrevor Road', 'rule_type': 'offset_to_intersect'}"
Finch Avenue East,Both,Bayview Avenue and Markham Road,Anytime,"{'start_intersection': 'Bayview Avenue', 'end_intersection': 'Markham Road', 'rule_type': 'block'}"
Finch Avenue West,Both,Islington Avenue and Ancona Street,Anytime,"{'start_intersection': 'Islington Avenue', 'end_intersection': 'Ancona Street', 'rule_type': 'block'}"
Finch Avenue West,Both,Islington Avenue and Kipling Avenue,Anytime,"{'start_intersection': 'Islington Avenue', 'end_intersection': 'Kipling Avenue', 'rule_type': 'block'}"
Keele Street,West,Bloor Street West and a point 184 metres north,Anytime,"{'start_intersection': 'Bloor Street West', 'distance': '184', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Keele Street,West,A point 184 metres north of Bloor Street West and Glenlake Avenue,"9:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'distance': '184', 'direction': 'north', 'start_intersection': 'Bloor Street West', 'end_intersection': 'Glenlake Avenue', 'rule_type': 'offset_to_intersect'}"
Keele Street,West,Dundas Street West and Vine Avenue,"Anytime, except Sun. and public holidays","{'start_intersection': 'Dundas Street West', 'end_intersection': 'Vine Avenue', 'rule_type': 'block'}"
Eglinton Avenue East,South,Hanna Road and Mann Avenue,Anytime,"{'start_intersection': 'Hanna Road', 'end_intersection': 'Mann Avenue', 'rule_type': 'block'}"
Eglinton Avenue West,North,A point 228.5 metres west of Islington Avenue and The East Mall,Anytime,"{'distance': '228.5', 'direction': 'west', 'start_intersection': 'Islington Avenue', 'end_intersection': 'The East Mall', 'rule_type': 'offset_to_intersect'}"
Eglinton Avenue West,North,Islington Avenue and a point 183 metres west of Pearen Street,Anytime,"{'start_intersection': 'Islington Avenue', 'distance': '183', 'direction': 'west', 'offset_intersection': 'Pearen Street', 'rule_type': 'intersect_to_offset'}"
Finch Avenue West,Both,Kipling Avenue and Albion Road,Anytime,"{'start_intersection': 'Kipling Avenue', 'end_intersection': 'Albion Road', 'rule_type': 'block'}"
Finch Avenue West,Both,Yonge Street and a point 30.5 metres east of Endel Street,Anytime,"{'start_intersection': 'Yonge Street', 'distance': '30.5', 'direction': 'east', 'offset_intersection': 'Endel Street', 'rule_type': 'intersect_to_offset'}"
Islington Avenue,Both,C.P.R. Overpass and a point 213.5 metres north of Bloor Street West and Chestnut Hills Crescent,Anytime,"{'start_intersection': 'C.P.R. Overpass', 'distance': '213.5', 'direction': 'north', 'offset_intersection': 'Bloor Street West and Chestnut Hills Crescent', 'rule_type': 'intersect_to_offset'}"
Kingston Road,Both,White Avenue and a point 21 metres south of Ellesmere Road,Anytime,"{'start_intersection': 'White Avenue', 'distance': '21', 'direction': 'south', 'offset_intersection': 'Ellesmere Road', 'rule_type': 'intersect_to_offset'}"
Keele Street,East,Eglinton Avenue West and Rogers Road,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Eglinton Avenue West', 'end_intersection': 'Rogers Road', 'rule_type': 'block'}"
Eglinton Avenue West,North,The east intersection of Keele Street and Bicknell Avenue,Anytime,"{'start_intersection': 'The east intersection of Keele Street', 'end_intersection': 'Bicknell Avenue', 'rule_type': 'block'}"
Eglinton Avenue West,North,Keele Street (east intersection) and Richardson Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'Keele Street (east intersection)', 'end_intersection': 'Richardson Avenue', 'rule_type': 'block'}"
Islington Avenue,Both,Chestnut Hills Crescent and Princess Margaret Boulevard,Anytime,"{'start_intersection': 'Chestnut Hills Crescent', 'end_intersection': 'Princess Margaret Boulevard', 'rule_type': 'block'}"
Islington Avenue,Both,Lake Shore Boulevard West and New Toronto Street,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Lake Shore Boulevard West', 'end_intersection': 'New Toronto Street', 'rule_type': 'block'}"
Keele Street,West,Glenlake Avenue and a point 45 metres south of Annette Street,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Glenlake Avenue', 'distance': '45', 'direction': 'south', 'offset_intersection': 'Annette Street', 'rule_type': 'intersect_to_offset'}"
Keele Street,West,Gilpin Avenue and Rogers Road,Anytime,"{'start_intersection': 'Gilpin Avenue', 'end_intersection': 'Rogers Road', 'rule_type': 'block'}"
Eglinton Avenue West,South,Keele Street (east intersection) and Venn Crescent,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Keele Street (east intersection)', 'end_intersection': 'Venn Crescent', 'rule_type': 'block'}"
Eglinton Avenue West,South,Keele Street (east intersection) and Yarrow Road,Anytime,"{'start_intersection': 'Keele Street (east intersection)', 'end_intersection': 'Yarrow Road', 'rule_type': 'block'}"
Islington Avenue,Both,Milady Road and Rowntree Mill Road,"Anytime, except Sun.","{'start_intersection': 'Milady Road', 'end_intersection': 'Rowntree Mill Road', 'rule_type': 'block'}"
Islington Avenue,East,Princess Margaret Boulevard and Milady Road,Anytime,"{'start_intersection': 'Princess Margaret Boulevard', 'end_intersection': 'Milady Road', 'rule_type': 'block'}"
Islington Avenue,West,Princess Margaret Boulevard and Milady Road,Anytime,"{'start_intersection': 'Princess Margaret Boulevard', 'end_intersection': 'Milady Road', 'rule_type': 'block'}"
Kipling Avenue,East,Lake Shore Boulevard West and a point 61 metres north,Anytime,"{'start_intersection': 'Lake Shore Boulevard West', 'distance': '61', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Keele Street,East,Lloyd Avenue and Vine Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'Lloyd Avenue', 'end_intersection': 'Vine Avenue', 'rule_type': 'block'}"
Eglinton Avenue East,North,Laird Drive and Bessborough Drive,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Laird Drive', 'end_intersection': 'Bessborough Drive', 'rule_type': 'block'}"
Islington Avenue,Both,The Queensway and Meadowvale Drive,Anytime,"{'start_intersection': 'The Queensway', 'end_intersection': 'Meadowvale Drive', 'rule_type': 'block'}"
Islington Avenue,Both,The Queensway and New Toronto Street,Anytime,"{'start_intersection': 'The Queensway', 'end_intersection': 'New Toronto Street', 'rule_type': 'block'}"
Islington Avenue,Both,Rowntree Mill Road and Steeles Avenue West,Anytime,"{'start_intersection': 'Rowntree Mill Road', 'end_intersection': 'Steeles Avenue West', 'rule_type': 'block'}"
Kipling Avenue,East,The Queensway and New Toronto Street,Anytime,"{'start_intersection': 'The Queensway', 'end_intersection': 'New Toronto Street', 'rule_type': 'block'}"
Kipling Avenue,Both,Steeles Avenue West and Prince George Drive,Anytime,"{'start_intersection': 'Steeles Avenue West', 'end_intersection': 'Prince George Drive', 'rule_type': 'block'}"
Laird Drive,East,A point approximately 100 metres north of Commercial Road and Eglinton Avenue East,Anytime,"{'distance': '100', 'direction': 'north', 'start_intersection': 'Commercial Road', 'end_intersection': 'Eglinton Avenue East', 'rule_type': 'offset_to_intersect'}"
Keele Street,East,St. Clair Avenue West and Lloyd Avenue,Anytime,"{'start_intersection': 'St. Clair Avenue West', 'end_intersection': 'Lloyd Avenue', 'rule_type': 'block'}"
Keele Street,West,St. Clair Avenue West and Vine Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'St. Clair Avenue West', 'end_intersection': 'Vine Avenue', 'rule_type': 'block'}"
Eglinton Avenue East,South,Laird Drive and Hanna Road,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Laird Drive', 'end_intersection': 'Hanna Road', 'rule_type': 'block'}"
Eglinton Avenue West,South,A point 39.6 metres east of Nairn Avenue and a point 9.1 metres further east,Anytime,"{'dist1': '39.6', 'dir1': 'east', 'start_intersection': 'Nairn Avenue', 'dist2': '9.1', 'rule_type': 'relative_extension'}"
Jane Street,West,Alliance Avenue and Haney Avenue,Anytime,"{'start_intersection': 'Alliance Avenue', 'end_intersection': 'Haney Avenue', 'rule_type': 'block'}"
Jane Street,Both,Alliance Avenue and Lambton Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Alliance Avenue', 'end_intersection': 'Lambton Avenue', 'rule_type': 'block'}"
Laird Drive,East,Millwood Road and Kenrae Road,Anytime,"{'start_intersection': 'Millwood Road', 'end_intersection': 'Kenrae Road', 'rule_type': 'block'}"
Eglinton Avenue East,North,Bessborough Drive and Bruce Park Avenue,Anytime,"{'start_intersection': 'Bessborough Drive', 'end_intersection': 'Bruce Park Avenue', 'rule_type': 'block'}"
Eglinton Avenue West,South,A point 48.7 metres east of Nairn Avenue and Kirknewton Road,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'distance': '48.7', 'direction': 'east', 'start_intersection': 'Nairn Avenue', 'end_intersection': 'Kirknewton Road', 'rule_type': 'offset_to_intersect'}"
Eglinton Avenue West,South,Northcliffe Boulevard and a point 50.5 metres west of Oakwood Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Northcliffe Boulevard', 'distance': '50.5', 'direction': 'west', 'offset_intersection': 'Oakwood Avenue', 'rule_type': 'intersect_to_offset'}"
Jane Street,East,Alliance Avenue and Woolner Avenue,Anytime,"{'start_intersection': 'Alliance Avenue', 'end_intersection': 'Woolner Avenue', 'rule_type': 'block'}"
Jane Street,West,Baby Point Road and a point 76 metres south,Anytime,"{'start_intersection': 'Baby Point Road', 'distance': '76', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Jane Street,West,A point 76 metres north of Bloor Street West and a point 41.5 etres south of Methuen Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'distance': '76', 'direction': 'north', 'start_intersection': 'Bloor Street West', 'end_intersection': 'a point 41.5 etres south of Methuen Avenue', 'rule_type': 'offset_to_intersect'}"
Jane Street,East,A point 61 metres south of Bradley Avenue and a point 30.5 metres north of Page Avenue,9:00 a.m. to 6:00 p.m.,"{'start_intersection': 'A point 61 metres south of Bradley Avenue', 'distance': '30.5', 'direction': 'north', 'offset_intersection': 'Page Avenue', 'rule_type': 'intersect_to_offset'}"
Eglinton Avenue West,South,Bicknell Avenue and The East Mall,Anytime,"{'start_intersection': 'Bicknell Avenue', 'end_intersection': 'The East Mall', 'rule_type': 'block'}"
Eglinton Avenue West,South,Bicknell Avenue and Yarrow Road,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Bicknell Avenue', 'end_intersection': 'Yarrow Road', 'rule_type': 'block'}"
Eglinton Avenue West,South,Blackthorn Avenue and Gilbert Avenue,Anytime,"{'start_intersection': 'Blackthorn Avenue', 'end_intersection': 'Gilbert Avenue', 'rule_type': 'block'}"
Eglinton Avenue West,South,Oakwood Avenue and a point 50.5 metres west,Anytime,"{'start_intersection': 'Oakwood Avenue', 'distance': '50.5', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Eglinton Avenue West,South,A point 18 metres east of Oakwood Avenue and Winona Drive,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'distance': '18', 'direction': 'east', 'start_intersection': 'Oakwood Avenue', 'end_intersection': 'Winona Drive', 'rule_type': 'offset_to_intersect'}"
Eglinton Avenue West,Both,Old Forest Hill Road and a point 29 metres west,Anytime,"{'start_intersection': 'Old Forest Hill Road', 'distance': '29', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Jane Street,West,A point 76 metres south of Baby Point Road and Methuen Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'distance': '76', 'direction': 'south', 'start_intersection': 'Baby Point Road', 'end_intersection': 'Methuen Avenue', 'rule_type': 'offset_to_intersect'}"
York Mills Service Road,Both,York Mills Road and the north end of York Mills Service Road,Anytime,"{'start_intersection': 'York Mills Road', 'end_intersection': 'the north end of York Mills Service Road', 'rule_type': 'block'}"
Bracebridge Avenue,,Cedarvale Avenue and Woodbine Avenue,Anytime,"{'start_intersection': 'Cedarvale Avenue', 'end_intersection': 'Woodbine Avenue', 'rule_type': 'block'}"
Weston Road,Both,Sheppard Avenue West and Finch Avenue West,Anytime,"{'start_intersection': 'Sheppard Avenue West', 'end_intersection': 'Finch Avenue West', 'rule_type': 'block'}"
